Characteristics,City of Ottawa,Orléans East-Cumberland - Ward 1,Orléans West-Innes - Ward 2,Barrhaven West - Ward 3,Kanata North - Ward 4,West Carleton-March - Ward 5,Stittsville - Ward 6,Bay - Ward 7,College - Ward 8,Knoxdale-Merivale -Ward 9,Gloucester-Southgate - Ward 10,Beacon Hill-Cyrville - Ward 11,Rideau-Vanier - Ward 12,Rideau-Rockcliffe - Ward 13,Somerset - Ward 14,Kitchissippi - Ward 15,River -Ward 16,Capital - Ward 17,Alta Vista - Ward 18,Orléans South-Navan - Ward 19,Osgoode - Ward 20,Rideau-Jock - Ward 21,Riverside South-Findlay Creek - Ward 22,Kanata South - Ward 23,Barrhaven East - Ward 24
"    $60,000 to $69,999",60200,3485,3355,2990,2030,1450,2430,2820,3110,2340,2840,2050,2585,2170,3070,2040,2655,1980,2450,3190,1855,1680,1815,3100,2715
"    $70,000 to $79,999",51865,3035,2760,2495,1890,1290,2370,2180,2380,2110,2310,1720,2060,1735,2565,2215,2075,1895,1980,2710,1570,1610,1685,2725,2490
"    $80,000 to $89,999",44135,2615,2410,2445,1760,1240,2055,1955,2020,1685,1695,1295,1610,1435,2305,1930,1705,1425,1570,2400,1405,1365,1550,2225,2025
"    $90,000 to $99,999",37430,2155,2000,2030,1585,995,2055,1315,1665,1265,1325,1135,1270,1100,1685,1690,1455,1375,1390,2250,1365,1060,1300,2080,1890
"    $100,000 and over",139105,6875,6040,6800,7485,4530,7965,5685,5860,4270,3650,3555,4430,4895,5505,8295,5050,7390,5305,7120,5000,4840,5225,6915,6425
"      $100,000 to $149,999",95885,5125,4465,4755,4915,2755,5485,3940,4175,3060,2685,2600,3210,2960,3885,5065,3530,4100,3505,5400,3315,3140,3855,5115,4845
"      $150,000 and over",43220,1750,1580,2045,2565,1770,2480,1745,1680,1215,965,950,1225,1935,1625,3235,1525,3290,1805,1720,1685,1705,1370,1795,1585
Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,834140,40600,38040,38620,33700,20690,35610,41425,43355,33370,39990,28285,39895,31930,37085,31735,38740,32685,36855,38605,24850,22255,25330,39665,40825
Without after-tax income,34540,1415,1355,1865,1860,690,1425,1675,1580,1375,2055,1285,1580,1260,900,1135,1680,1165,1645,1740,850,740,1370,1555,2335
With after-tax income,799595,39185,36685,36750,31845,19995,34180,39750,41780,31995,37935,27000,38315,30670,36185,30595,37060,31520,35210,36865,24005,21510,23960,38110,38485
"    Under $10,000 (including loss)",68660,3040,2815,3540,3495,1950,3030,3280,3415,2600,3565,2235,3310,2575,2130,1985,3250,3110,3110,2995,1915,1735,2225,3325,4025
"    $10,000 to $19,999",86425,3770,3545,3545,3460,2015,3320,4695,4600,3815,5040,3030,5220,3690,3910,2540,4545,3095,4170,3580,2520,2015,2260,3795,4245
"    $20,000 to $29,999",111520,4565,4425,4225,3525,2130,3740,6780,6550,4900,6845,4355,7120,5040,5870,3565,5865,4170,5670,4290,2735,2465,2775,4705,5230
"    $30,000 to $39,999",97080,4220,4365,3995,3260,1995,3230,5605,6055,4495,5460,3620,5475,3970,4655,2985,5460,3595,4880,3710,2555,2280,2320,4190,4715
"    $40,000 to $49,999",87480,4505,4325,3920,2800,2155,3335,4600,5200,3785,4355,3385,4350,3535,3880,2895,4225,2960,4020,3880,2735,2255,2285,4290,3820
"    $50,000 to $59,999",80010,4610,4180,4000,2740,1900,3290,3765,4200,3295,3795,2750,3685,2815,3970,2715,3625,2760,3300,4025,2370,2080,2350,4025,3765
"    $60,000 to $69,999",65360,3900,3520,3250,2460,1660,2925,2805,3095,2550,2720,2070,2550,2190,3240,2860,2480,2215,2540,3460,2035,2015,2245,3410,3155
"    $70,000 to $79,999",54510,3125,2810,3045,2290,1430,2825,2145,2345,1890,2120,1730,1855,1650,2725,2335,2170,2025,1895,3295,1815,1560,2000,2865,2580
"    $80,000 to $89,999",44830,2580,2295,2295,1950,1300,2390,1820,2070,1560,1410,1255,1530,1390,1860,1990,1620,1605,1580,2650,1565,1400,1820,2495,2400
"    $90,000 to $99,999",32520,1800,1600,1625,1710,875,1955,1335,1415,945,895,930,1105,870,1250,1865,1170,1355,1160,1795,1065,1085,1305,1720,1700
"    $100,000 and over",71200,3080,2810,3310,4160,2590,4145,2925,2845,2165,1730,1635,2110,2940,2705,4865,2655,4635,2890,3180,2695,2630,2365,3290,2850
"      $100,000 to $124,999",38440,1830,1605,1790,2245,1190,2280,1560,1605,1225,1015,900,1235,1375,1525,2325,1500,2000,1550,1940,1425,1275,1355,2000,1675
"      $125,000 and over",32765,1245,1205,1515,1915,1405,1860,1365,1240,940,720,730,880,1570,1175,2540,1155,2635,1345,1240,1265,1360,1005,1295,1175
Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,834140,40600,38040,38620,33700,20690,35610,41425,43355,33370,39990,28285,39895,31930,37085,31735,38740,32685,36855,38605,24850,22255,25330,39665,40825
Without employment income,241185,11350,12005,9540,10295,5570,8580,14830,12985,11325,12990,9380,12470,11540,8800,8285,12535,8990,12300,8580,6340,6340,5755,10240,10165
With employment income,592960,29245,26040,29080,23410,15115,27030,26605,30370,22040,27005,18900,27425,20390,28280,23455,26205,23695,24555,30025,18515,15920,19580,29425,30660
"    Under $5,000 (including loss)",76995,3715,3900,3365,3225,2095,2910,3750,3735,3120,4130,2605,4075,3345,2665,2735,3820,3385,3500,3480,2355,2040,2020,3460,3560
"    $5,000 to $9,999",44090,1955,1770,1965,1575,990,1860,2150,2450,1805,2640,1645,2610,1565,1980,1260,2295,1765,1930,2095,1165,1040,1355,1900,2345
"    $10,000 to $19,999",60155,2670,2395,2700,1960,1345,2210,2965,3630,2630,3110,2075,3690,2030,2910,1820,3380,2540,2685,2585,1725,1465,1785,2710,3140
"    $20,000 to $29,999",43790,1785,1730,1880,1475,915,1825,2250,2600,1830,2485,1595,2570,1630,2245,1290,2195,1805,2135,1865,1270,1025,1125,1940,2300
"    $30,000 to $39,999",41255,1795,1940,1850,1330,945,1335,2330,2715,1735,2120,1560,2010,1650,1920,1255,1995,1635,2035,1780,1100,1010,1060,1950,2215
"    $40,000 to $49,999",40610,2095,1810,1925,1240,975,1605,2020,2445,1730,1970,1415,1945,1470,2055,1350,1865,1280,1715,1850,1295,1080,1140,2165,2180
"    $50,000 to $59,999",41630,2215,1895,2260,1335,920,1690,1890,2275,1575,2055,1445,1985,1280,2115,1400,1955,1460,1645,2270,1225,995,1470,2160,2120
"    $60,000 to $69,999",40735,2395,1860,2210,1400,950,1830,1580,1890,1400,1970,1315,1790,1230,2505,1405,1600,1290,1535,2465,1345,1035,1370,2200,2170
"    $70,000 to $79,999",34830,2025,1545,1845,1220,865,1675,1315,1595,1185,1565,1005,1365,1075,2040,1630,1305,1165,1200,1980,1105,945,1415,1860,1895
"    $80,000 to $89,999",32335,1795,1550,1835,1240,815,1675,1285,1410,1050,1245,765,1240,955,1910,1490,1190,985,1140,2020,1055,865,1330,1725,1765
"    $90,000 to $99,999",30005,1665,1355,1790,1250,800,1865,905,1245,860,890,965,955,850,1420,1335,990,995,1075,2005,1130,930,1240,1785,1710
"    $100,000 and over",106515,5135,4290,5445,6165,3500,6550,4160,4390,3125,2820,2505,3190,3315,4520,6490,3615,5375,3965,5635,3750,3485,4260,5565,5265
"      $100,000 to $124,999",51370,2875,2440,2685,2630,1415,3020,2015,2210,1535,1550,1420,1610,1345,2255,2615,1715,1855,1855,3130,1695,1520,2270,2855,2855
"      $125,000 and over",55150,2260,1850,2760,3535,2080,3535,2150,2180,1590,1265,1090,1585,1975,2260,3875,1900,3520,2110,2505,2060,1965,1990,2715,2410
Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,834140,40600,38040,38620,33700,20690,35610,41425,43355,33370,39990,28285,39895,31930,37085,31735,38740,32685,36855,38605,24850,22255,25330,39665,40825
Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,780035,38310,36035,35380,30875,19530,33395,38860,40905,31160,36800,26230,37435,29910,35565,30160,36175,30785,34310,35895,23515,21120,23290,37175,37230
Median total income in 2019 among recipients ($),47200,54800,52800,53600,53200,56400,57600,40800,42400,42400,36000,42400,34000,41200,43600,60800,39200,49200,40800,55600,54800,57600,56000,52000,45200
Average total income in 2019 among recipients ($),60900,62000,61550,63500,67000,73200,68700,54650,54150,54350,47360,54200,48280,61600,58650,82100,53100,74400,55650,62400,69000,73700,65100,61500,56750
Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,780410,38340,36065,35390,30890,19540,33415,38875,40910,31175,36815,26250,37445,29925,35585,30180,36190,30790,34320,35915,23540,21125,23300,37190,37240
Median after-tax income in 2019 among recipients ($),41600,47600,46000,47200,46000,48800,49600,36800,38000,38000,33600,38000,31600,36800,38800,52000,35600,42800,36800,48000,47200,49600,48800,45600,40400
Average after-tax income in 2019  among recipients ($),49440,50920,50480,51750,53650,57350,55100,45000,43560,45120,40160,45160,40480,49280,47920,63600,43840,57450,45920,51200,54900,57900,53250,50400,46960
Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,714300,36025,33850,33165,28830,18455,31610,34385,37465,28065,31840,23360,32620,25900,32165,28185,32045,29000,30390,33740,22165,20140,21790,34905,34195
Median market income in 2019 among recipients ($),46400,52000,49200,52000,51200,53600,55600,39600,40400,40800,36000,41200,34800,41200,46000,60800,38800,47600,40400,53200,52400,53600,56000,49200,45600
Average market income in 2019 among recipients ($),60550,60050,58900,63000,66500,72000,67800,54050,52850,52850,47520,53500,48760,63200,60200,82800,52950,74200,55750,61550,67600,71300,65200,60000,57200
Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,588520,29035,26075,28570,23150,15065,26905,26610,30025,21705,26790,18580,27160,20270,28200,23505,25900,23510,24450,29640,18540,16100,19255,29335,30155
Median employment income in 2019 among recipients ($),46000,52400,46800,52400,54800,54000,58000,38000,40000,38800,35600,40000,31600,38800,45600,60400,36800,42000,39200,53200,52400,52800,58000,51200,47200
Average employment income in 2019 among recipients ($),58900,58550,56750,62550,67500,70300,68300,52550,51950,51000,46280,50640,45440,58050,58700,80200,50320,67500,53700,59900,64600,68000,65600,60600,57550
Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,664170,32200,30875,29680,25610,15725,27445,33900,35085,27110,32230,23035,33035,26130,31195,25070,31495,25860,29910,30085,19185,17325,19580,31245,31165
Median government transfers in 2019 among recipients ($),1470,2180,3160,1170,1300,1740,1020,3040,1560,2760,1920,2560,1320,3480,860,940,2000,940,2040,1170,1760,2400,910,1540,980
Average government transfers in 2019 among recipients ($),6400,6610,7260,5325,5810,6500,5500,7810,6680,7750,7160,7450,6560,7890,4788,5695,7130,5375,7170,5440,6430,6980,4892,6125,5028
Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,40730,2080,1935,2090,1325,1140,1890,1735,1995,1565,1970,1430,1660,1510,1275,1395,1760,1110,1745,2475,1560,1230,1470,2535,1870
Median employment insurance benefits in 2019 among recipients ($),6080,5320,5600,6080,5640,5880,6320,5600,5520,6800,6320,5960,6080,5520,5680,6600,6400,6080,6240,6800,6450,5640,6800,6160,5720
Average employment insurance benefits in 2019 among recipients ($),7840,7510,7920,7670,7680,7920,8560,7170,7490,8540,7850,7600,7350,7100,6960,8510,7650,7640,7940,8320,8120,7560,8630,8280,7600
Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Market income (%),91,91,89.8,93,92.8,92.8,93.4,87.6,89.4,87.6,86.8,88,88,88.8,92.8,94.2,88.4,94,88.8,92.6,92.4,92.2,93.6,91.6,92.6
Employment income (%),73,71.6,66.8,79.6,75.6,74.2,80.2,65.8,70.4,65.4,71.2,66.2,68.2,63.9,79.4,76.2,67.8,69.2,68.8,79.2,73.8,70.2,83.2,77.8,82.2
Government transfers (%),9,9,10.1,7,7.2,7.1,6.6,12.5,10.6,12.4,13.2,12.1,12,11.2,7.2,5.8,11.7,6.1,11.2,7.3,7.6,7.8,6.3,8.4,7.4
Employment insurance benefits (%),0.7,0.7,0.7,0.7,0.5,0.6,0.7,0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.4,0.5,0.7,0.4,0.7,0.9,0.8,0.6,0.8,0.9,0.7
Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,165700,4345,4560,3695,3885,1945,3480,11430,10870,6890,6735,5545,18320,8575,18900,9170,9615,10685,8700,3645,2165,2145,2210,4275,3925
Median total income in 2020 ($),46400,60800,58800,62800,63600,50000,62400,42800,40400,41600,41200,48800,35600,43200,47600,54000,38400,40000,39200,64500,49600,50800,71000,61200,57200
Average total income in 2020 ($),56900,67000,64300,69900,72300,62950,73200,53850,48840,51550,50720,55900,47680,55950,59100,64600,50120,55150,49280,71000,59550,66800,73900,65900,61300
Median after-tax income in 2020 ($),41200,51200,50000,53600,54000,44400,53200,38400,36800,37600,37200,43200,33200,38800,42000,47200,35200,36400,35600,54000,43600,44800,59600,52000,49200
Average after-tax income in 2020 ($),47360,54950,52900,57250,58400,51200,58900,45160,41480,43600,43080,47200,40840,46680,49000,53150,42680,45360,40240,57750,49200,53550,60200,54450,51040
Total - LIM low-income status in 2020 for the population in private households - 25% sample data,1000935,48680,45495,49675,41645,24800,45210,48490,50315,39835,48700,34050,44315,37390,39795,37030,45895,37025,44060,49060,29965,27045,32990,49110,50360
Total - Income statistics for private households - 25% sample data,407250,18195,17680,16780,15020,9105,15900,22275,20900,15740,18010,13450,24775,17355,25130,18230,19635,17570,18715,16605,10815,10045,10760,17940,16625
Median total income of household in 2020 ($),102000,122000,114000,125000,125000,135000,136000,79500,95000,97000,89000,94000,63200,81000,70500,101000,84000,94000,85000,130000,134000,133000,135000,119000,121000
Average total income of household in 2020 ($),126700,137800,133400,144200,150200,166400,154200,102900,115700,116100,106400,113700,81500,113600,99400,147600,108100,141400,112200,146200,159400,160800,157600,136200,138600
Median after-tax income of household in 2020 ($),88000,104000,98000,107000,105000,114000,114000,69500,82000,85000,79000,83000,56400,70500,61200,86000,74500,81000,75000,111000,111000,111000,115000,101000,105000
Average after-tax income of household in 2020 ($),103000,113800,109900,117600,119800,130600,123900,84900,96200,97000,90400,95700,68700,91400,79400,113100,90300,108600,91200,120200,126400,126900,127900,112000,114900
Total - Income statistics for one-person private households - 25% sample data,116225,3345,3545,2595,3055,1470,2550,8505,5805,4090,4510,3570,12505,6610,14760,7385,6330,6355,6005,2640,1555,1675,1625,3205,2535
Median total income of one-person households in 2020 ($),55200,65500,63600,73000,71000,55200,70500,49200,54000,54000,50000,57200,43200,48400,53200,59200,46400,56000,45600,73000,53200,57600,78000,68500,71000
Average total income of one-person households in 2020 ($),64800,71800,69600,79700,78900,67000,81000,59900,62100,63500,57050,62750,54600,61200,64200,68800,58750,71000,54350,79800,65100,73700,82000,72000,72900
Median after-tax income of one-person households in 2020 ($),47600,55200,54000,60400,59600,47200,59200,43200,47200,47200,43600,48400,39200,42800,46800,50800,41600,48400,40400,61600,45200,49200,65500,56800,58400
Average after-tax income of one-person households in 2020 ($),53100,58250,56800,64500,63100,54050,64300,49600,51250,52500,47920,52300,46040,50480,52650,56150,49160,56700,43520,64200,53150,58550,66200,59050,59750
